Naziv_algoritma,tolerance,time(ms),kandidati
Lavenshtein,1,1565.553433,1461
Lavenshtein,2,1590.594599,21087
Lavenshtein,3,2081.93744,178759
Lavenshtein,4,3134.36839,926149
Lavenshtein,5,4482.553402,2890594
Lavenshtein,6,5196.089776,5584244
Lavenshtein,7,5380.651261,7254432
RabinKarp,1,40.652545,67
RabinKarp,2,34.069775,139
RabinKarp,3,42.054705,993
RabinKarp,4,41.778564,3379
RabinKarp,5,58.901671,12474
RabinKarp,6,74.765315,30041
RabinKarp,7,88.056005,51597
Naive_algorithm,1,0.165937,2
Naive_algorithm,2,0.404502,89
Naive_algorithm,3,0.882638,765
Naive_algorithm,4,1.696117,3692
Naive_algorithm,5,3.143496,11862
Naive_algorithm,6,6.158691,27890
Naive_algorithm,7,10.372604,48361
Bitap_algorithm,1,0.463738,1584
Bitap_algorithm,2,0.66333,2376
Bitap_algorithm,3,0.766293,3168
Bitap_algorithm,4,1.040437,3960
Bitap_algorithm,5,1.177175,4752
Bitap_algorithm,6,1.265027,5544
Bitap_algorithm,7,1.274127,6336
